Data/Hora;Dia;Mês;Ano;Data;Hora;Baixa Tensão (kWh);Média Tensão (kWh);Alta Tensão (kWh);Muito Alta Tensão (kWh);Total (kWh)
2023-05-12T14:15:00+01:00;12;05;2023;2023-05-12;14:15;649775.920063;536835.2837;192818.7462;98672.04;1478101.9899630002
2023-05-14T02:15:00+01:00;14;05;2023;2023-05-14;02:15;491124.006134;282087.1795;174313.4014;88080.1674;1035604.754434
2023-05-18T03:45:00+01:00;18;05;2023;2023-05-18;03:45;469078.254404;397804.784;202902.0051;85841.2036;1155626.2471039998
2023-05-19T13:30:00+01:00;19;05;2023;2023-05-19;13:30;654928.719158;509224.5334;203449.6298;83418.1221;1451021.004458
2023-05-20T21:15:00+01:00;20;05;2023;2023-05-20;21:15;818436.088553;342745.5961;181887.8989;84573.4304;1427643.0139529998
2023-05-20T23:30:00+01:00;20;05;2023;2023-05-20;23:30;666797.366673;308247.6906;183148.0364;84264.6445;1242457.738173
2023-05-24T10:00:00+01:00;24;05;2023;2023-05-24;10:00;657666.807674;597396.1085;203624.6099;66095.7311;1524783.2571740001
2023-05-24T12:15:00+01:00;24;05;2023;2023-05-24;12:15;708858.25271;564101.3171;196002.3373;58545.8396;1527507.74671
2023-05-25T03:45:00+01:00;25;05;2023;2023-05-25;03:45;451532.944948;400483.2623;206740.1421;75458.8967;1134215.246048
2023-05-26T17:00:00+01:00;26;05;2023;2023-05-26;17:00;677799.303126;579825.0594;219643.8932;51836.994;1529105.249726
2023-05-29T19:30:00+01:00;29;05;2023;2023-05-29;19:30;803685.638431;521712.4631;218227.4208;62392.7256;1606018.247931
2023-06-01T06:30:00+01:00;01;06;2023;2023-06-01;06:30;432832.049905;444657.6597;214711.0395;79301.2507;1171501.999805
2023-06-01T17:30:00+01:00;01;06;2023;2023-06-01;17:30;667830.825031;601545.1094;211918.5724;59668.9923;1540963.499131
2023-06-02T03:00:00+01:00;02;06;2023;2023-06-02;03:00;462753.922831;401970.5436;208588.7244;87801.8164;1161115.0072309999
2023-06-04T16:00:00+01:00;04;06;2023;2023-06-04;16:00;576772.396373;306099.5958;188172.3697;65144.3863;1136188.7481729998
2023-06-05T13:30:00+01:00;05;06;2023;2023-06-05;13:30;667843.983357;533299.9812;209122.3706;59279.6704;1469546.005557
2023-06-06T23:00:00+01:00;06;06;2023;2023-06-06;23:00;720427.116715;470902.9137;217448.7052;87950.7583;1496729.493915
2023-06-06T23:45:00+01:00;06;06;2023;2023-06-06;23:45;638302.033361;447276.1378;218002.9191;91879.6672;1395460.7574610002
2023-06-07T03:00:00+01:00;07;06;2023;2023-06-07;03:00;476770.082228;414445.9103;218219.9195;93620.5887;1203056.500728
2023-06-08T00:00:00+01:00;08;06;2023;2023-06-08;00:00;630760.912131;408205.35;193378.4041;79438.3329;1311782.999131
2023-06-08T16:15:00+01:00;08;06;2023;2023-06-08;16:15;629644.757776;363070.918;180016.5737;77225.2485;1249957.497976
2023-06-12T21:00:00+01:00;12;06;2023;2023-06-12;21:00;787600.289755;509420.2293;215652.8765;86727.6098;1599401.005355
2023-06-15T16:30:00+01:00;15;06;2023;2023-06-15;16:30;710917.85391;638033.3553;213354.6899;95528.1027;1657834.00181
2023-06-18T07:45:00+01:00;18;06;2023;2023-06-18;07:45;473263.664344;298022.661;195223.104;72059.324;1038568.7533440001
