Ano;Mês;Data;Distrito;Concelho;Freguesia;Inclui contador inteligente;Número de CPE's;Código Distrito;Código Concelho;Código Freguesia;Contrato Ativo
2024;9;2024-09;Lisboa;Lisboa;Marvila;Sim;17801;11;1106;110621;Sim
2024;9;2024-09;Lisboa;Arruda dos Vinhos;Cardosas;Sim;457;11;1102;110203;Sim
2024;9;2024-09;Braga;Fafe;Medelo;Sim;885;03;0307;030716;Sim
2024;9;2024-09;Viseu;Armamar;São Martinho das Chãs;Sim;494;18;1801;180115;Sim
2024;9;2024-09;Aveiro;Arouca;Rossas;Não;5;01;0104;010415;Sim
2024;9;2024-09;Braga;Braga;Arentim e Cunha;Não;12;03;0303;030363;Sim
2024;9;2024-09;Lisboa;Sintra;Queluz e Belas;Sim;29766;11;1111;111126;Sim
2024;9;2024-09;Viseu;Nelas;Santar e Moreira;Sim;1096;18;1809;180911;Sim
2024;9;2024-09;Guarda;Manteigas;Manteigas (São Pedro);Sim;1005;09;0908;090803;Sim
2024;9;2024-09;Coimbra;Mira;Seixo;Sim;926;06;0608;060802;Sim
2024;9;2024-09;Castelo Branco;Castelo Branco;Tinalhas;Sim;294;05;0502;050225;Sim
2024;9;2024-09;Viseu;Lamego;Ferreiros de Avões;Sim;247;18;1805;180508;Sim
2024;9;2024-09;Vila Real;Valpaços;Sonim e Barreiros;Sim;341;17;1712;171234;Sim
